sequence    ,obj,  J&F,    J,    F
sav_051362  ,003, 100.0, 100.0, 100.0
sav_051401  ,000, 100.0, 100.0, 100.0
sav_052215  ,000, 100.0, 100.0, 100.0
sav_052661  ,000, 100.0, 100.0, 100.0
sav_052661  ,001, 100.0, 100.0, 100.0
sav_052793  ,000, 100.0, 100.0, 100.0
sav_052793  ,001, 100.0, 100.0, 100.0
sav_052991  ,000, 100.0, 100.0, 100.0
sav_052991  ,001, 100.0, 100.0, 100.0
sav_053005  ,000, 100.0, 100.0, 100.0
sav_053005  ,001, 100.0, 100.0, 100.0
sav_053054  ,000, 100.0, 100.0, 100.0
sav_053054  ,001, 100.0, 100.0, 100.0
sav_053239  ,000, 100.0, 100.0, 100.0
sav_053239  ,001, 100.0, 100.0, 100.0
sav_053269  ,000, 100.0, 100.0, 100.0
sav_053269  ,001, 100.0, 100.0, 100.0
sav_053269  ,002, 100.0, 100.0, 100.0
sav_053716  ,000, 100.0, 100.0, 100.0
sav_053954  ,000, 100.0, 100.0, 100.0
sav_053954  ,001, 100.0, 100.0, 100.0
sav_054217  ,000, 100.0, 100.0, 100.0
sav_054282  ,000, 100.0, 100.0, 100.0
sav_054282  ,001, 100.0, 100.0, 100.0
sav_054282  ,002, 100.0, 100.0, 100.0
sav_054399  ,000, 100.0, 100.0, 100.0
sav_054399  ,001, 100.0, 100.0, 100.0
sav_054399  ,002, 100.0, 100.0, 100.0
sav_054399  ,003, 100.0, 100.0, 100.0
sav_054440  ,000, 100.0, 100.0, 100.0
sav_054565  ,000, 100.0, 100.0, 100.0
